name,id,name_all,kind,cst,n_stars,cst_tidal,n_stars_tidal,ra,dec,l,b,ang_radius_50,ang_radius_c,ang_radius_t,ang_radius_total,radius_50_pc,radius_c_pc,radius_t_pc,radius_total_pc,pmra,pmra_std,pmra_error,pmdec,pmdec_std,pmdec_error,parallax,parallax_std,parallax_error,distance_16,distance_50,distance_84,n_stars_used_for_distance,global_parallax_correction_only,x,y,z,radial_velocity,radial_velocity_std,radial_velocity_error,radial_velocity_n_stars,class_2.5,class_16,class_50,class_84,class_97.5,human_class,log_age_16,log_age_50,log_age_84,a_v_16,a_v_50,a_v_84,differential_a_v_16,differential_a_v_50,differential_a_v_84,distance_modulus_16,distance_modulus_50,distance_modulus_84,min_cluster_size,is_merged_cluster,is_gmm_membership_list,n_unique_strong_crossmatches,crossmatch_type,data_source,family,age_myr,rv_combined,x_helio,y_helio,z_helio,U,V,W,x_helio_err,y_helio_err,z_helio_err,U_err,V_err,W_err,n_rv_combined,mass_16,mass_50,mass_84,n_sne_16,n_sne_50,n_sne_84,n_stars_greater_8M_16,n_stars_greater_8M_50,n_stars_greater_8M_84,weight_score,name_both
ADS_16795,1.0,"ADS_16795,AR_Cas",o,6.8321986352118005,41,6.8321986352118,41.0,352.5921649178744,58.55341328644161,112.50889463014288,-2.6681322338226146,2.6531590645345275,3.255858786427165,8.489976723000481,8.489976723000469,9.56715258213804,11.744707859105842,30.81841427627285,30.818414276272808,18.656603901323304,1.3018567134644832,0.2033158603816854,2.8466125312260906,1.258036414920903,0.1964722795110527,4.759610517805493,0.1016132969312564,0.0158693308396582,206.28167669192135,206.45788462227864,206.6343938472585,32.0,False,-8200.94946740538,190.52326759748928,11.391596692001649,-13.357744355315807,1.6301901766691835,0.5763592642732378,8.0,0.1719862520694732,0.6797695159912109,0.8284220993518829,0.9978262782096864,0.9988502264022828,,7.388280868530273,7.755186080932617,8.016153335571289,3.398020851363981e-07,0.1742975264787674,0.2642706930637359,0.0075803520157933,0.4707696288824081,0.6938900351524353,6.491674423217773,6.649981737136841,6.814626693725586,40.0,False,False,1.0,1:1,hunt,alphaPer,56.90967178794703,-13.874467,-78.9519388754934,190.5231800394149,-9.61079279638875,-13.076860781916343,-19.651072713427165,-3.686108970289729,0.1348832152352344,0.3254939583064811,0.0164192881365607,0.3726682819252759,0.7342097749832535,0.2414422635969583,5.0,26.926590551858155,38.53892859362049,61.512607699212666,0.0,0.0,1.0,0.0,0.0,1.0,0.9586198089917092,ADS_16795
ASCC_18,10.0,"ASCC_18,MWSC_541,OCSN_58",o,5.0767240579514965,82,5.668875160539884,43.0,81.33025179100899,0.367627552830267,202.39396824810495,-18.88511527887693,0.2965612575650678,0.6575183987630968,0.6575183987630968,2.251449208813607,2.1290727296541534,4.720621494550807,4.720621494550807,16.171785493197493,0.1563482782693881,0.2599456295320781,0.0396413368678508,1.3732927358661025,0.2202227877492599,0.0335836602864227,2.415040964720971,0.0453587938422915,0.0069171512129608,410.7291287662722,411.3342157877765,411.9410882705869,73.0,False,-8482.154512286992,-148.27108466476696,-111.41597663507692,26.157580333725196,8.532350072463617,2.069398857853764,17.0,0.9679707884788512,0.9909403324127196,0.9949472546577454,0.9997392296791076,0.9999119639396667,,6.727238178253174,6.966529369354248,7.160568714141846,0.0622650682926178,0.2280988246202469,0.3284491896629333,0.2016522288322448,0.7617983222007751,1.095541000366211,7.85101842880249,8.019810199737549,8.192170143127441,80.0,False,False,2.0,1:m,hunt,cr135,9.258259923914624,27.439232,-359.8414197687183,-148.27161494963156,-133.13721454501797,-25.28743683930785,-8.12350249398646,-7.020158234237487,1.0602405829515646,0.4368690618506718,0.3922769036774411,1.0752900942367298,0.5002827734637058,0.4212102767630757,23.0,100.051157839458,112.41331875068953,155.23828988268178,0.0,0.0,1.0,0.0,1.0,2.0,0.230211201212058,ASCC_18
ASCC_19,11.0,ASCC_19,o,9.307117428281302,61,9.352427261279567,60.0,81.97812988952843,-1.8560223997899916,204.78898603970563,-19.379514994896677,0.32300054906363,0.7588946523039606,0.7588946523039606,0.8872380503508026,1.9848399813577304,4.663634738619817,4.663634738619817,5.452460303899424,1.167716739256896,0.1764964583998272,0.0227855948015706,-1.1824782090015808,0.1403072072337468,0.0181135825656391,2.80542176869604,0.0330928912478018,0.0042722738893529,351.661537896208,352.079120429244,352.497695862908,59.0,False,-8423.799162006248,-139.2545413540144,-95.25631690491568,11.650610880037242,17.160193958476896,3.3653909173581043,26.0,0.9960525631904602,0.999323844909668,0.9996457695961,1.0,1.0,,6.672360897064209,6.872124671936035,7.044824600219727,0.1131307184696197,0.2297295778989792,0.3508405983448028,0.0077850581146776,0.5164051949977875,0.7130323052406311,7.545971393585205,7.674972772598267,7.843988418579102,40.0,False,False,1.0,m:m,hunt,none,7.449457931205395,22.78304205596924,-301.5276299013089,-139.25499343968698,-116.82825963970376,-18.650815740566827,-11.863705547230364,-6.745320249679925,0.7161024760989676,0.330718765785889,0.2774571804040278,1.7425974730063023,0.8000398839219928,0.6966896197553673,23.0,58.50768962185728,71.56376438461429,106.21443201919544,0.0,0.0,1.0,0.0,1.0,2.0,0.2461930729624167,ASCC_19
ASCC_20,12.0,"ASCC_20,OCSN_57",o,8.643950050150158,194,8.643950050150158,194.0,82.19355425474684,1.7213040542203988,201.59021723151568,-17.47289942041401,0.6533212769413115,1.5053980237025928,1.631159807696593,1.6311598076965976,4.118886898567872,9.492607739052762,10.286037565947735,10.286037565947764,-0.5690951011947464,0.2493039705883189,0.017898981965968,0.7589900422083508,0.2514259206277093,0.0180513291002639,2.730248424372568,0.0945702960510864,0.0067897515612772,360.8836221986591,361.20759547671486,361.5321509535008,162.0,False,-8442.617930048136,-126.77889870710572,-86.83410935894597,27.885556580966405,10.880510638027271,1.4806499557828363,54.0,0.9358224868774414,0.9863412976264954,0.9928949177265168,0.9999125003814696,0.9999400973320008,,6.858487606048584,7.098372459411621,7.2810750007629395,3.949219899368472e-05,0.1079708039760589,0.1725302338600158,0.0425279252231121,0.4713912159204483,0.7347836494445801,7.602356433868408,7.762996435165405,7.917179107666016,80.0,False,False,2.0,1:m,hunt,cr135,12.542163542168938,30.107747,-320.3679046663749,-126.77935601801197,-108.45426491108904,-27.147193446059177,-9.018394670714136,-9.30020942008812,0.5752032928053268,0.2276254954978469,0.1947237828352541,0.553851819036262,0.2283286009333774,0.1890875303894409,52.0,130.18075104272071,160.7618720433989,209.04776941021723,0.0,1.0,2.0,0.0,1.0,3.0,0.2261251500465128,ASCC_20
ASCC_21,13.0,ASCC_21,o,11.056171145934425,116,11.056171145934426,116.0,82.21204037672199,3.6065854684302,199.8828505023024,-16.530111565759267,0.4618292519273421,0.429017047130268,1.7871695596530104,1.7871695596530155,2.7465290967444984,2.551385172445277,10.631633562678369,10.6316335626784,1.532353402972246,0.1819002760165263,0.0168890166346939,-0.5762836513017455,0.1715312316842139,0.0159262750377631,2.9024425863014334,0.0310180184512706,0.0028799507129453,340.4161645097483,340.73440964072586,341.0532503646642,107.0,False,-8429.400833884318,-111.09328447000692,-75.35909797992517,10.168294064787142,28.008623559427438,4.0426965879165815,48.0,0.9972845315933228,0.999540388584137,0.9997948706150056,1.0,1.0,,6.659257411956787,6.8387370109558105,7.0006632804870605,0.0304431617259979,0.1376868337392807,0.2078310251235962,0.2372855842113495,0.7044261693954468,1.0642989873886108,7.447766780853271,7.611668109893799,7.771580696105957,80.0,False,False,1.0,1:1,hunt,none,6.8982195244419575,19.70817967620849,-307.1802368420839,-111.093712609031,-96.94548481284274,-17.678162663520702,-8.82544319610996,-3.712032863863726,0.5743481675601174,0.2077167168057201,0.1812631636979347,0.8620127875821253,0.3006829553770681,0.2855091035516537,32.0,100.59045672958035,129.60193127026645,176.79304802855432,0.0,0.0,1.0,0.0,1.0,2.0,0.2069923299884951,ASCC_21
ASCC_58,25.0,"ASCC_58,MWSC_1782,Theia_453",o,19.4318496562958,236,20.283958381651576,221.0,153.70559195299398,-55.02031158536785,281.7049299565545,1.262731823751951,0.5149455127768168,0.5348679881091057,1.8347707922385903,3.687606450107848,4.237161465649198,4.4011002821230925,15.101926290639875,30.384133185483936,-13.301966998787284,0.234999666577491,0.0158077882304882,2.760100301573567,0.2652632148943185,0.0178435347907405,2.0962602741245395,0.0548615522668956,0.0036903873646347,471.106093181106,471.4380966758533,471.77056844752127,197.0,False,-8026.329367567531,-461.522708864777,30.943655156053488,11.682799894055634,13.465675544348,1.4780499113866288,83.0,0.9698271751403807,0.9934895038604736,0.9968664646148682,0.9999986886978148,0.9999986886978148,,7.481166839599609,7.7559709548950195,8.021576881408691,0.0002183718606829,0.127982422709465,0.1936219632625579,0.0981422439217567,0.5908881723880768,0.8435158133506775,8.137145042419434,8.344379901885986,8.481325149536133,80.0,False,False,2.0,m:m,hunt,m6,57.01261416388118,10.6041045,95.61815174828968,-461.522604660878,10.389102012730689,-25.647873111868,-16.51867525689616,-11.493885386654908,0.1347703915001545,0.6504997323106636,0.0146430705885052,0.2291806128037391,0.9528992898295212,0.0688184460060562,52.0,405.6013794014499,464.8507348121955,562.1963485812687,3.0,5.0,8.0,3.0,5.0,8.0,0.9732033059579932,ASCC_58
ASCC_100,50.0,"ASCC_100,MWSC_3038",o,8.78245616235559,87,8.847062722254362,85.0,285.40308766882663,33.600943456464044,64.40553461732193,12.676490955165413,1.5867020530338394,2.915231970915849,2.915231970915849,3.3629151100233896,9.98238937896324,18.351695509154467,18.351695509154467,21.175959533574957,1.7321640386087536,0.463627058988208,0.0502874150817145,-3.450965525907368,0.2858780875275654,0.0310078322038383,2.750564512936926,0.0914580879657075,0.0099200224468099,360.08699368210284,360.3717288011013,360.65691457923856,68.0,False,-7969.885815920929,317.08750232153034,99.49355668880308,-13.846434897429454,8.452674833136731,1.5432402257884013,30.0,0.5045886635780334,0.8927931785583496,0.94047412276268,0.9997152090072632,0.9997152090072632,,7.508714199066162,7.812189102172852,8.111193656921387,0.0196456015110015,0.2292637377977371,0.3196228444576263,0.1769638955593109,0.6581932604312897,0.9811166524887084,7.588991641998291,7.742328643798828,7.899593353271484,20.0,False,False,1.0,1:1,hunt,alphaPer,64.89169259443132,-16.195972,151.8853397918439,317.0877597660224,79.0821034240734,-2.8599049595173764,-15.004815580022932,-8.55741624625332,0.2402037179883791,0.5014681399060237,0.1250668122073932,0.2504696468179215,0.4702739375950741,0.1641453809023058,22.0,128.5147776846662,152.54752601928058,227.97680294628907,0.0,1.0,3.0,0.0,1.0,3.0,0.9719557436361544,ASCC_100
ASCC_127,64.0,"ASCC_127,MWSC_3704",o,23.63704139332936,247,23.63704139332936,247.0,347.3021314606539,65.18290876165365,112.4682635616462,4.409058752546129,0.9902276656969154,0.8106783612290998,4.249257730384335,4.249257730384338,6.467729353660035,5.294818804864373,27.8025016876764,27.80250168767641,7.409729202426048,0.2749506537147043,0.0174946911528895,-1.6453941379660952,0.3656741778182588,0.0232672907559453,2.655421615292834,0.0603790974137948,0.0038418299686627,373.95730880238136,374.19344177379753,374.42987314297005,190.0,False,-8264.481855610613,344.76569306833244,49.932098678122834,-16.9849295786443,18.15184725958433,2.493347976286969,53.0,0.945386528968811,0.9894115328788756,0.994124561548233,0.9999479055404664,0.9999479055404664,,6.847806453704834,7.085119485855103,7.283822059631348,0.0773390531539917,0.2940337657928467,0.4075218439102173,0.1314617097377777,0.6648052334785461,0.9999231100082396,7.6490583419799805,7.815397500991821,7.971618175506592,40.0,False,False,1.0,1:1,hunt,none,12.165206514936909,-13.656146,-142.5829074180966,344.7656026911727,28.766744336390587,-5.301960574209119,-16.625127624060344,-9.173233843409188,0.1800662173656348,0.4354002809912458,0.0363291710933992,0.5170715745626175,1.1932420081434694,0.1045365092266414,37.0,200.69577645536745,242.97222330448807,278.1580037236074,0.0,1.0,2.0,1.0,2.0,4.0,0.998442324520901,ASCC_127
Alessi_5,70.0,"Alessi_5,MWSC_1844",o,22.036120384004512,571,23.016648731625985,427.0,160.90215568427678,-61.111502915938544,288.10772508030294,-1.97401594836806,0.3641724900418907,0.2978765850436782,1.5640868001443358,2.271505631602837,2.490470675381558,2.0370830141820218,10.698852438299683,15.542106595896232,-15.39980212121692,0.2840726242857143,0.0137472378207978,2.543934460213462,0.2973033272789095,0.014387516415193,2.496614678489692,0.0807562035684116,0.0039080666035708,391.6344205925415,391.8240423056338,392.0138477299117,294.0,False,-8000.300220345815,-372.19758232590925,6.99111024268398,13.409860297716426,18.71458958824699,1.7527819077926627,114.0,0.9686630964279176,0.992740035057068,0.9959006309509276,0.9998085498809814,0.9999852180480956,,7.526814937591553,7.751014232635498,7.984170436859131,0.1807267665863037,0.4027307629585266,0.5432838797569275,0.1839345246553421,0.7276449501514435,1.0180597305297852,7.753346443176269,7.909089088439941,8.081724166870117,80.0,False,False,1.0,1:1,hunt,m6,56.36561275797823,10.157798,121.70843749933432,-372.1974889372981,-13.49687367383737,-23.584833064915703,-17.61088786777915,-9.714221099948476,0.1178577091963006,0.3604215477254229,0.0130698466367107,0.2039713855139328,0.4443258605648484,0.0783809393019496,68.0,648.7789769418729,742.6857365701809,895.9569913666256,5.0,8.0,10.0,5.0,8.0,10.0,0.9635992941364594,Alessi_5
Alessi_13,76.0,"Alessi_13,Chi_For_Group,Harrington_2,MWSC_278,Ramakers_26,Slotegraaf_3",o,18.77892089533221,167,18.950709697001425,163.0,51.99294196892279,-35.77331776124268,237.4267524139569,-55.75716165491604,5.16227658046213,5.143037719153444,18.95143073312193,21.97544586169223,9.417871364335053,9.382583077235166,35.7957383233151,42.06589987583986,35.49917421573545,3.814995467240071,0.2988135066372476,-4.183817584847128,3.099034031787405,0.2427350790265796,9.502329769592594,0.7082223041616381,0.0554722520649152,104.2220043510866,104.24535616656406,104.26871844872748,152.0,False,-8153.774570060254,-49.43203472419688,-65.29443450895178,18.01721705655344,12.029191635989472,1.353389796757228,79.0,0.6735289692878723,0.9436987638473512,0.9736039340496064,0.9996637105941772,0.9996637105941772,,7.058513641357422,7.393537998199463,7.587049961090088,0.0054075419902801,0.1558383256196975,0.2467569410800933,0.0637096539139747,0.5956363379955292,0.8624550700187683,4.980319976806641,5.087625741958618,5.234967231750488,80.0,False,False,1.0,1:1,hunt,alphaPer,24.747879811780912,17.449953,-31.58069385640812,-49.432190679181005,-86.17547552812636,-12.32299349725245,-21.528644510040422,-4.686470198612319,0.0141518401454732,0.0221513961571844,0.0386166801678768,0.2976322274630726,0.5128821142738649,0.9264754718500556,63.0,101.7696146883267,126.3441095842071,146.78737649601825,0.0,1.0,1.0,0.0,1.0,2.0,0.6689021519061541,Alessi_13
