file,path,mass_init,time_death
Z0.014Y0.273_ROT0.00_M600.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M600.0.TAB,600.0,2181586.5946
Z0.014Y0.273_ROT0.00_M550.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M550.0.TAB,550.0,2192279.9063
Z0.014Y0.273_ROT0.00_M500.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M500.0.TAB,500.0,2206483.4459
Z0.014Y0.273_ROT0.00_M450.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M450.0.TAB,450.0,2226704.1506
Z0.014Y0.273_ROT0.00_M400.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M400.0.TAB,400.0,2259295.7473
Z0.014Y0.273_ROT0.00_M350.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M350.0.TAB,350.0,2311057.6799
Z0.014Y0.273_ROT0.00_M300.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M300.0.TAB,300.0,2378612.0322
Z0.014Y0.273_ROT0.00_M290.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M290.0.TAB,290.0,2393365.1933
Z0.014Y0.273_ROT0.00_M280.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M280.0.TAB,280.0,2410318.038
Z0.014Y0.273_ROT0.00_M270.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M270.0.TAB,270.0,2426791.3697
Z0.014Y0.273_ROT0.00_M260.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M260.0.TAB,260.0,2445477.9321
Z0.014Y0.273_ROT0.00_M250.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M250.0.TAB,250.0,2463529.3269
Z0.014Y0.273_ROT0.00_M240.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M240.0.TAB,240.0,2484533.6744
Z0.014Y0.273_ROT0.00_M230.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M230.0.TAB,230.0,2505112.4545
Z0.014Y0.273_ROT0.00_M220.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M220.0.TAB,220.0,2529129.9422
Z0.014Y0.273_ROT0.00_M210.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M210.0.TAB,210.0,2559281.2513
Z0.014Y0.273_ROT0.00_M200.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M200.0.TAB,200.0,2587891.9458
Z0.014Y0.273_ROT0.00_M190.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M190.0.TAB,190.0,2620306.1799
Z0.014Y0.273_ROT0.00_M180.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M180.0.TAB,180.0,2656399.1243
Z0.014Y0.273_ROT0.00_M170.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M170.0.TAB,170.0,2694655.1003
Z0.014Y0.273_ROT0.00_M160.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M160.0.TAB,160.0,2737815.8386
Z0.014Y0.273_ROT0.00_M150.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M150.0.TAB,150.0,2786092.4233
Z0.014Y0.273_ROT0.00_M140.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M140.0.TAB,140.0,2842678.7454
Z0.014Y0.273_ROT0.00_M130.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M130.0.TAB,130.0,2904835.0033
Z0.014Y0.273_ROT0.00_M120.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M120.0.TAB,120.0,2981101.4992
Z0.014Y0.273_ROT0.00_M110.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M110.0.TAB,110.0,3068100.5861
Z0.014Y0.273_ROT0.00_M100.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M100.0.TAB,100.0,3175323.3039
Z0.014Y0.273_ROT0.00_M95.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M95.0.TAB,95.0,3237245.92
Z0.014Y0.273_ROT0.00_M90.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M90.0.TAB,90.0,3305529.3979
Z0.014Y0.273_ROT0.00_M85.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M85.0.TAB,85.0,3380987.4029
Z0.014Y0.273_ROT0.00_M80.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M80.0.TAB,80.0,3467075.3623
Z0.014Y0.273_ROT0.00_M70.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M70.0.TAB,70.0,3667840.261
Z0.014Y0.273_ROT0.00_M60.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M60.0.TAB,60.0,3861181.3559
Z0.014Y0.273_ROT0.00_M50.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M50.0.TAB,50.0,4282087.1957
Z0.014Y0.273_ROT0.00_M40.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M40.0.TAB,40.0,4903319.7761
Z0.014Y0.273_ROT0.00_M35.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M35.0.TAB,35.0,5387179.1115
Z0.014Y0.273_ROT0.00_M30.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M30.0.TAB,30.0,6082879.7241
Z0.014Y0.273_ROT0.00_M28.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M28.0.TAB,28.0,6452044.3974
Z0.014Y0.273_ROT0.00_M26.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M26.0.TAB,26.0,6881959.9293
Z0.014Y0.273_ROT0.00_M24.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M24.0.TAB,24.0,7431137.2224
Z0.014Y0.273_ROT0.00_M22.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M22.0.TAB,22.0,8135253.6934
Z0.014Y0.273_ROT0.00_M20.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M20.0.TAB,20.0,9027779.5136
Z0.014Y0.273_ROT0.00_M18.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M18.0.TAB,18.0,10186186.203
Z0.014Y0.273_ROT0.00_M16.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M16.0.TAB,16.0,11876520.168
Z0.014Y0.273_ROT0.00_M14.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M14.0.TAB,14.0,14183312.005
Z0.014Y0.273_ROT0.00_M12.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M12.0.TAB,12.0,17713250.362
Z0.014Y0.273_ROT0.00_M11.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M11.0.TAB,11.0,20423301.543
Z0.014Y0.273_ROT0.00_M10.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M10.0.TAB,10.0,24136276.794
Z0.014Y0.273_ROT0.00_M9.8.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M9.8.TAB,9.8,25141096.137
Z0.014Y0.273_ROT0.00_M9.6.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M9.6.TAB,9.6,26091134.942
Z0.014Y0.273_ROT0.00_M9.4.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M9.4.TAB,9.4,26946558.791
Z0.014Y0.273_ROT0.00_M9.2.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M9.2.TAB,9.2,28073780.715
Z0.014Y0.273_ROT0.00_M9.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M9.0.TAB,9.0,29257891.293
Z0.014Y0.273_ROT0.00_M8.8.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M8.8.TAB,8.8,31324282.556
Z0.014Y0.273_ROT0.00_M8.6.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M8.6.TAB,8.6,31867745.953
Z0.014Y0.273_ROT0.00_M8.4.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M8.4.TAB,8.4,33426964.677
